Código,Objeto,Categoria,TCO_Descricao,Lic_Descricao,Valor
2558,"O objeto do presente termo é a aquisição de microscópios biológicos e microscópios estereoscópicos  para equipe de entomologia da Superintendência de Vigilância Ambiental, Vetores e Zoonoses (SVAZS),  da Secretaria Municipal de Saúde (SMS), para realizar as identificações e monitoramento das espécies  de importância médica e/ou transmissores de doenças em Duque de Caxias - Item 2, nas especificações e condições constantes no Termo de Referência, conforme Homologação e demais documentos constantes nos autos do Processo Administrativo nº 014/002632/2024.",0,TERMO DE FORNECIMENTO,PREGÃO ELETRÔNICO,16583.22
2570,"O presente Termo Aditivo tem por finalidade o REDIMENSIONAMENTO CONTRATUAL, decorrente de CISÃO  EMPRESARIAL do Termo de Prestação de Serviços n° 01-004/2023, assinado em 01/02/2023, e seus  aditivos, cujo objeto é a Prestação de Serviços Médicos (CARDIOLOGIA, DERMATOLOGIA, GERIATRIA,  GINECOLOGIA, INFECTOLOGIA, INTENSIVISTA, NEFROLOGIA, ORTOPEDIA, OTORRINOLARINGOLOGIA,  PNEUMOLOGIA, PSIQUIATRIA, RADIOLOGIA E UROLOGIA), em atendimento às necessidades da Secretaria  Municipal de Saúde de Duque de Caxias/RJ, conforme Autorizo, Justificativa e demais documentos  constantes no Processo Administrativo n° 006/003876/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,44988000.0
2571,"O presente Termo Aditivo tem por finalidade o REDIMENSIONAMENTO CONTRATUAL, decorrente de  CISÃO EMPRESARIAL do Termo de Prestação de Serviços n°01-004/2023, assinado em 01/02/2023, e seus  aditivos, cujo objeto é a Prestação de Serviços Médicos (ANESTESIOLOGIA, CIRURGIA VASCULAR E  CIRURGIA GERAL), em atendimento às necessidades da Secretaria Municipal de Saúde de Duque de  Caxias/RJ, conforme documentos constantes no Processo Administrativo n° 006/003876/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,29340000.0
2572,"O presente Termo Aditivo tem por finalidade o REDIMENSIONAMENTO CONTRATUAL, decorrente de  CISÃO EMPRESARIAL do Termo de Prestação de Serviços n° 01-004/2023, assinado em 01/02/2023, e seus  aditivos, cujo objeto é a Prestação de Serviços Médicos de PEDIATRIA e NEONATOLOGIA, em atendimento  às necessidades da Secretaria Municipal de Saúde de Duque de Caxias/RJ, conforme documentos  constantes no Processo Administrativo n° 006/003876/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,31296000.0
2573,"O presente Termo Aditivo tem por finalidade o REDIMENSIONAMENTO CONTRATUAL, decorrente de CISÃO EMPRESARIAL do Termo de Prestação de Serviços nº 01-004/2023, assinado em 01/02/2023, e seus aditivos, cujo objeto é a Prestação de Serviços Médicos (NEUROLOGIA, DIREÇÃO E EMERGENCISTA), em atendimento às necessidades da Secretaria Municipal de Saúde de Duque de Caxias/RJ, conforme documentos encartados no Processo Administrativo nº 006/003876/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,43032000.0
2574,"O presente Termo Aditivo tem por finalidade o REDIMENSIONAMENTO CONTRATUAL, decorrente de  CISÃO EMPRESARIAL do Termo de Prestação de Serviços n°01-004/2023, assinado em 01/02/2023, e seus  aditivos, cujo objeto é a Prestação de Serviços Médicos (CLÍNICO GERAL E OFTALMOLOGIA), em  atendimento às necessidades da Secretaria Municipal de Saúde de Duque de Caxias/RJ, conforme  documentos constantes no Processo Administrativo n°006/003876/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,46944000.0
2576,"O objeto do presente Termo Aditivo é a prestação de serviços de locação de equipamentos de som e iluminação, conforme Autorizo, justificativa e demais documentos acostados nos autos do Processo Administrativo nº 004/000002/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,ADESÃO À ATA DE REGISTRO DE PREÇOS,2024017.04
2577,"O objeto do presente termo é a execução do projeto de atendimento aos indivíduos e das famílias usuárias da Política de Assistência Social executadas pelas equipes técnicas de Secretaria Municipal de Assistência Social e Direitos Humanos de Duque de Caxias/RJ, para serviço de atendimento à crianças com deficiência física e intelectual, conforme condições e exigências estabelecidas no Edital, Plano de Trabalho e demais documentos constantes no processo administrativo nº 017/000355/2024.",0,TERMO DE COLABORAÇÃO,CHAMAMENTO PÚBLICO,65736.0
2579,"O objeto do presente Termo é o Credenciamento da PEAK SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A, para a prestação de serviços de empréstimo consignado, cartão de crédito, cartão de benefício compra e cartão de benefício saque, oriundo do Chamamento Público nº 003/SMA/2025, conforme o constante no Processo Administrativo nº 008/000055/2026.",0,TERMO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,0.0
2580,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses e SUPRIMIR em 30,71% o Termo de Prestação de Serviços nº 01-002/2023, e seus aditivos, assinado em 16/01/2023, cujo objeto é a prestação de serviços de apoio e assessoramento das unidades escolares, bem como no âmbito da Secretaria Municipal de Educação, conforme Autorizo e demais documentos constantes no Processo Administrativo n° 010/000032/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,111012694.92
2583,"O presente Termo Aditivo tem por finalidade ACRESCER em 24,15544% o Termo de Prestação de Serviços nº 01-014/2025, assinado em 06/05/2025, cujo objeto é o é o Fornecimento de Licença de Uso de Sistema, e Execução dos Serviços de Implantação, Capacitação, Flospedagem, Manutenção e Suporte Assistido do Software de Gestão Integrada de Saúde, conforme documentos constantes no Processo Administrativo nº 014/000122/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,23961999.6
2584,"O presente Termo Aditivo tem por objeto PRORROGAR por 12 (doze) meses o Termo de Cooperação Técnica nº 53-001/2025, assinado em 28 de janeiro de 2025, cujo objeto é a implementação do projeto de pesquisa  Estudo Epidemioiógico sobre a Prevalência Nacional de Agentes Respiratório em Crianças e Adolescentes , conforme Autorizo e demais documentos constantes no processo administrativo nº 014/004917/2025",0,TERMO ADITIVO DE COOPERAÇÃO TÉCNICA,N/A,0.0
2585,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços nº 01-003/2023, assinado em 26/01/2023, e seus aditivos, cujo objeto é a prestação de Serviços Médicos, em atendimento às necessidades da Secretaria Municipal de Saúde de Duque de Caxias, na unidade do Hospital Municipalizado Adão Pereira Nunes, conforme Autorizo e demais documentos encartados no Processo Administrativo nº 014/004240/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,CONCORRÊNCIA,159289172.28
2586,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços nº 01-008/2024, assinado em 31/01/2024, cujo objeto é a locação de veículos automotores, incluindo motorista, manutenção preventiva e corretiva e seguro total, em atendimento aos pacientes da Rede Municipal de Saúde que necessitam do programa TFD (Tratamento Fora Domicilio), conforme Autorizo e demais documentos constantes no Processo Administrativo nº 014/004274/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,5119893.33
2587,"Fica neste ato UNILATERALMENTE RESCINDIDO o Termo de Prestação de Serviços nº 01-009/2024, assinado em 05/02/2024, e seus aditivos, oriundo do Pregão Presencial nº 085/2022, do Tipo Menor Preço Global, cujo o objeto é a contratação de serviços de apoio administrativo com fornecimento de materiais, conforme demais documentos acostados nos autos do Processos Administrativos nº 014/000532/2026.",0,TERMO DE RESCISÃO EM GERAL,PREGÃO PRESENCIAL,0.0
2588,"O objeto do presente Termo é o Credenciamento da Leiloeira pública SANDRA REGINA SEVIDANES RODRIGUES, para a realização de Leilões Públicos de bens móveis inservíveis, inclusive veículos de propriedade do Município de Duque de Caxias, oriundo do Chamamento Público nº 002/SMA/2025, conforme o constante no Processo Administrativo nº 008/000158/2026",0,TERMO DE CREDENCIAMENTO,N/A,0.0
2589,"O objeto do presente Termo é o Credenciamento do Leiloeiro público EDGAR CARVALHO JUNIOR, para  a realização de Leilões Públicos de bens móveis inservíveis, inclusive veículos, de propriedade do Município de Duque de Caxias, oriundo do Chamamento Público nº 002/SMA/2025, conforme o constante no Processo Administrativo nº 008/000157/2026.",0,TERMO DE CREDENCIAMENTO,N/A,0.0
2590,"O objeto do presente Termo é o Credenciamento da Leiloeira pública JULIANA VETTORAZZO  RODRIGUES BARROS, para a realização de Leilões Públicos de bens móveis inservíveis, inclusive veículos, de propriedade do Município de Duque de Caxias, oriundo do Chamamento Público nº 002/SMA/2025, conforme o constante no Processo Administrativo nº 008/000076/2026",0,TERMO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,0.0
2591,"O objeto do presente Termo é o Credenciamento do Leiloeiro público JULIANA SEVIDANES DE ARAUJO, para a realização de Leilões Públicos de bens móveis inservíveis, inclusive veículos, de propriedade do Município de Duque de Caxias, oriundo do Chamamento Público nº 002/SMA/2025, conforme o constante no Processo Administrativo nº 008/000159/2026.",0,TERMO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,0.0
2592,"O objeto do presente termo é a aquisição de material de limpeza, em atendimento às necessidades da Secretaria Municipal de Obras e Agricultura, nas especificações e condições constantes no Termo de Referência, Termo de Adesão e conforme demais documentos constantes nos autos do Processo Administrativo nº 013/000820/2025.",0,TERMO DE FORNECIMENTO,ATA DE REGISTRO DE PREÇOS,45080.64
2593,"Fica neste ato UNILATERALMENTE RESCINDIDO o Termo de Prestação de Serviços nº 01-019/2022, assinado em 01/06/2022, e seus aditivos, oriundo do Pregão Presencial nº 017/2022, do Tipo Menor Preço Global, cujo o objeto é a contratação de serviços de suporte à área médica e serviços auxiliares, conforme demais documentos acostados nos autos do Processos Administrativos nº 014/000540/2026.",0,TERMO DE RESCISÃO EM GERAL,PREGÃO PRESENCIAL,0.0
